Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,city,state,country,types
Stout - American,Arcadia Brewing Company,Arcadia Brewing Company Arcadia Cocoa Loco,"Notes:This triple chocolate stout is a unique interpretation of the style, combining three different chocolate malts, cacao nibs and 63 percent semi-sweet chocolate, creating a sinfully delicious brew. The addition of blackstrap molasses produces an earthy, caramelized tone in an already complex flavor profile. It's creamy, milkshake-like mouthfeel earns this beer the reputation of being dessert in glass.\t",7.0,35,60,5,154,27,71,111,23,0,33,26,14,169,3.625506,3.836032,3.524291,3.546559,3.491903,Battle Creek,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - American Pale,Arcadia Brewing Company,Arcadia Brewing Company Arcadia Whitsun Ale,"Notes:Brewed in the style of a mid-19th century English Festival Ale, this unfiltered wheat beer displays a translucent orange color topped with a creamy, white head. Wheat enhances the mouthfeel of the beer and produces pleasant bread-like notes while Michigan honey provides a caramelized sweetness in the flavor profile. This beer is spiced with orange peel and coriander and small amounts of three hop varieties pleasantly counterbalances the sweetness.Brewed with Michigan honey.1062 OG; 17 IBU\t",6.0,10,35,14,26,7,27,33,59,0,59,36,14,65,3.46,3.5275,3.475,3.4475,3.5225,Kalamazoo,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - American Pale,Arcadia Brewing Company,Arcadia Brewing Company Arcadia Whitsun Ale,"Notes:Brewed in the style of a mid-19th century English Festival Ale, this unfiltered wheat beer displays a translucent orange color topped with a creamy, white head. Wheat enhances the mouthfeel of the beer and produces pleasant bread-like notes while Michigan honey provides a caramelized sweetness in the flavor profile. This beer is spiced with orange peel and coriander and small amounts of three hop varieties pleasantly counterbalances the sweetness.Brewed with Michigan honey.1062 OG; 17 IBU\t",6.0,10,35,14,26,7,27,33,59,0,59,36,14,65,3.46,3.5275,3.475,3.4475,3.5225,Battle Creek,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Brown Ale - English,Big Rock Brewery,Big Rock Brewery Traditional Ale,"Notes:This medium bodied Brown Ale fills your mouth with a fusion of toasty malt and sweet caramel up front finishing with a nutty flavour, medium creamy carbonation and mild hop bitterness.\t",5.0,15,25,7,43,5,22,65,11,0,7,26,3,96,3.240964,3.46988,3.385542,3.385542,3.554217,Calgary,AB,CA,"Brewery, Beer-to-go"
Lager - European Dark,Big Rock Brewery,Big Rock Brewery Honey Brown Lager,"Notes:Sweet and honey/molasses flavour, slightly hopped with fuller mouth feel.\t",5.0,15,40,13,47,8,25,131,11,0,10,37,2,120,3.016129,3.33871,3.064516,2.870968,3.048387,Calgary,AB,CA,"Brewery, Beer-to-go"
Brown Ale - English,Empyrean Brewing Company,Empyrean Brewing Company Third Stone Brown,"Notes:A myth shattering ale that proves all dark beers don't have to be filling. Sweetly smooth with nutty hints of roasted caramel flavor. Brewed with American, Canadian and English grown barley and American hops.13 IBU\t",5.3,15,25,12,84,9,29,68,19,0,18,33,7,133,3.560345,3.672414,3.422414,3.637931,3.689655,Lincoln,NE,US,"Brewery, Beer-to-go"
Scottish Ale,Empyrean Brewing Company,Empyrean Brewing Company Burning Skye Scottish Ale,"Notes:Brewed in the tradition of Scotland's malty-sweet beers. Sweet and smooth with a wee hint of smoked character. Brewed with American, English & German grown barley and American hops.13 IBU\t",5.3,9,25,18,41,26,26,68,17,2,19,21,34,105,3.295455,3.431818,3.333333,3.462121,3.575758,Lincoln,NE,US,"Brewery, Beer-to-go"
California Common / Steam Beer,Toppling Goliath Brewing Company,Toppling Goliath Brewing Company Dorothy's New World Lager,"Notes:Our flagship beer was named after our founder’s grandmother and crafted to please her purely classic tastes. Mildly hopped, light in color and body, and clean to the taste, this california common-style lager drinks easy. Each sip charms the senses with distinct flavor and refreshing simplicity, delivering a smooth finish. Dorothy is truly the “Classic Beauty.”11 IBU\t",5.5,35,45,39,70,5,43,46,58,13,45,75,7,126,3.5,4.0,4.0,4.0,4.333333,Decorah,IA,US,"Brewery, Bar, Beer-to-go"
IPA - English,Toppling Goliath Brewing Company,Toppling Goliath Brewing Company Naughty 90,"Notes:Our Naughty 90 Oaked IPA was inspired by ocean bound, oak barreled brews of the 1800’s. Packed with hops on a 90-minute schedule, uniquely malted, then aged on a bed of oak, this IPA delivers a taste that is both innovative and timeless.100+ IBU\t",8.0,35,60,17,40,21,57,54,24,0,33,73,29,102,4.375,4.625,4.625,4.75,4.5,Decorah,IA,US,"Brewery, Bar, Beer-to-go"
Pale Ale - American,Toppling Goliath Brewing Company,Toppling Goliath Brewing Company PseudoSue,"Notes:This single hop ale showcases the Citra hop. Named for the largest T-rex fossil ever discovered, she roars with ferocious aromas of grapefruit, citrus, mango and evergreen. Delicate in body with a mild bite in the finish.50 IBU\t",5.8,25,50,38,43,6,67,36,84,1,120,84,0,23,4.75,4.0,4.0,4.5,4.5,Decorah,IA,US,"Brewery, Bar, Beer-to-go"
California Common / Steam Beer,Furthermore Beer,Furthermore Beer Oscura,Notes:,5.3,35,45,23,53,12,133,49,18,2,11,26,7,173,3.850746,3.720149,3.820896,3.914179,3.869403,Black River Falls,WI,US,Brewery
Cream Ale,Furthermore Beer,Furthermore Beer Fallen Apple,Notes:,6.2,10,22,23,49,4,6,103,146,1,122,7,5,31,3.241379,3.37931,3.25,3.155172,3.25,Black River Falls,WI,US,Brewery
Pale Ale - Belgian,Furthermore Beer,Furthermore Beer Fatty Boombalatty,Notes:,7.2,20,30,14,36,22,29,48,47,0,67,46,29,50,3.849593,3.817073,3.808943,3.894309,3.853659,Black River Falls,WI,US,Brewery
Stout - Irish Dry,Furthermore Beer,Furthermore Beer Three Feet Deep,Notes:,5.5,30,40,33,73,7,46,34,13,0,4,22,61,87,3.766355,3.925234,3.630841,3.686916,3.705607,Black River Falls,WI,US,Brewery
California Common / Steam Beer,Local Option,Local Option Dampf Loc,"Notes:Dampf Loc is an all-barley warm fermented ale brewed by the folks from Chicago’s Local Option; inspired by “Dampfbier” (literally “steam beer”) originally crafted by medieval peasant inhabitants of southeast Bavaria. During the fermentation process generous amounts of foam and surface bubbles burst in the tank, giving the illusion that the ferment is boiling or “steaming.” Tony Russomanno and Noah Hopkins took it upon themselves to brew Dampf Loc as a modern interpretation of its Teutonic predecessor, creating a “Hefe Gerste” ale that is true to its roots; unmistakable in character yet accessible to beer drinkers of all palates.Dampf Loc has a mild hop profile, medium body with pleasant effervescence and a clear, rich, orange hue. Dampf Loc is ideal for warm months, yet enjoyable year round.\t",5.3,35,45,30,56,28,44,77,50,6,46,73,16,148,3.5,4.166667,4.166667,3.666667,3.833333,Chicago,IL,US,"Brewery, Bar, Eatery"
Red Ale - American Amber / Red,Local Option,Local Option Morning Wood,"Notes:Formerly Morning WoodMourning Wood is an oak-aged coffee amber ale. Fresh American oak used during the aging process and Dark Matter’s El Salvador San Jose pulp-natural coffee aromatically drive the beer yet they remain subtle components of the beers’ overall flavor profile. This amber colored, medium-bodied, and extraordinarily well-balanced ale has a delicate taste that is appreciated by beer drinkers of all palates.\t",7.3,25,45,9,46,11,100,44,8,0,2,24,12,140,4.5,3.5,4.0,3.5,4.0,Chicago,IL,US,"Brewery, Bar, Eatery"
California Common / Steam Beer,Peekskill Brewery,Peekskill Brewery Hop Common,Notes:Unfiltered with amber hues and a medium body. Segal Ranch Nugget and Cascade Hops give citrus and fresh pine on the nose. Finishes dry with slight bitterness.\t,5.7,35,45,17,20,4,55,12,33,0,34,77,2,39,3.666667,3.888889,4.055556,4.055556,3.888889,Peekskill,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
California Common / Steam Beer,Cismontane Brewing Company,Cismontane Brewing Company The Citizen,Notes:,6.0,35,45,18,40,7,45,52,49,2,53,76,8,79,3.5,3.75,3.75,3.5,3.75,Rancho Santa Margarita,CA,US,"Brewery, Bar, Beer-to-go"
California Common / Steam Beer,Ölvisholt Brugghús,Ölvisholt Brugghús Skjálfti,Notes:,5.0,35,45,15,48,3,71,47,41,2,45,96,6,97,3.7,3.8125,3.6875,3.6875,3.8375,Selfoss,,IS,Brewery
California Common / Steam Beer,Mountain Goat Beer Pty Ltd,Mountain Goat Beer Pty Ltd Mountain Goat Steam Ale,Notes:,4.5,35,45,29,32,8,32,41,54,0,53,43,8,42,3.357143,3.452381,3.52381,3.380952,3.619048,Richmond,,AU,"Brewery, Bar"
California Common / Steam Beer,Sierra Blanca Brewing Company (Rio Grande),Sierra Blanca Brewing Company (Rio Grande) Rio Grande Outlaw Lager,"Notes:This unique lager balances a rich caramel malt flavor with a smooth hop finish that keeps the palate crisp. Reddish-amber in color, this is a very complex California Common style beer with a great malt/hop balance.34 IBU\t",5.2,35,45,18,29,9,37,42,11,1,9,42,5,76,3.346154,3.230769,3.038462,2.923077,3.115385,Moriarty,NM,US,"Brewery, Bar, Beer-to-go"
Chile Beer,Sierra Blanca Brewing Company (Rio Grande),Sierra Blanca Brewing Company (Rio Grande) Rio Grande Pancho Verde Chile Cerveza,Notes:This beer has an unmistakable roasted chile aroma and flavor without being too hot. The whole chile is used to infuse the beer with a mild green chile flavor and leaves you with just a hint of heat on the back end.12 IBU\t,4.67,0,0,18,21,24,11,22,9,1,7,10,132,31,3.326923,3.038462,2.942308,3.211538,3.019231,Moriarty,NM,US,"Brewery, Bar, Beer-to-go"
California Common / Steam Beer,Liberty Street Brewing Company,Liberty Street Brewing Company Steamy Windows,"Notes:A ""Steam"" style beer made with a lager yeast and fermented at ale temperatures and then aged at lager temperatures for a smooth, clean finish.\t",5.6,35,45,13,27,8,28,26,28,0,24,43,4,35,4.166667,4.0,3.833333,4.333333,4.333333,Plymouth,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - Foreign / Export,Liberty Street Brewing Company,Liberty Street Brewing Company Starkweather Stout,Notes:Formerly known as LS Foreign Extra Stout.\t,6.3,30,70,13,51,5,36,31,6,1,7,18,10,55,3.75,4.25,3.75,4.0,4.0,Plymouth,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
California Common / Steam Beer,Lake Louie Brewery Company,Lake Louie Brewery Company Mosquito Beach,Notes:,6.0,35,45,8,29,4,33,41,14,3,22,54,3,75,3.666667,3.916667,3.791667,3.916667,4.083333,Arena,WI,US,Brewery
Scotch Ale / Wee Heavy,Lake Louie Brewery Company,Lake Louie Brewery Company Lake Louie Warped Speed Scotch Ale,Notes:,7.2,25,35,8,43,33,21,78,16,0,11,25,15,75,3.960265,4.016556,4.006623,4.07947,4.02649,Arena,WI,US,Brewery
Scotch Ale / Wee Heavy,Lake Louie Brewery Company,Lake Louie Brewery Company Louie's Reserve Scotch Ale,Notes:Released annually in August\t,10.0,25,35,13,89,64,33,104,33,0,33,39,27,130,4.077381,4.125,4.190476,4.202381,4.166667,Arena,WI,US,Brewery
California Common / Steam Beer,Aviator Brewing Company,Aviator Brewing Company Steamhead,Notes:,5.8,35,45,9,18,6,24,26,15,1,9,34,1,43,3.6,3.4,3.6,3.5,3.7,Fuquay-Varina,NC,US,"Brewery, Beer-to-go"
Red Ale - Irish,Aviator Brewing Company,Aviator Brewing Company HotRod Red,Notes:,6.1,20,30,17,45,7,62,54,9,0,17,84,7,122,3.615385,3.884615,3.846154,3.884615,3.807692,Fuquay-Varina,NC,US,"Brewery, Beer-to-go"
California Common / Steam Beer,Anaheim Brewery,Anaheim Brewery 1888.0,"Notes:Anaheim 1888 is based on a style of beer brewed at the original Anaheim Brewery and has a flavor that is popular with today's beer drinker. Copper-colored, full-flavored and well-hopped, Anaheim 1888 is our flagship beer.The beer is aptly named to reflect the glory days of the original Anaheim Brewery. It was in 1888 when Friedrich Conrad, our spiritual forefather, began construction on a vast brick building on West Broadway to house the expanded brewery.The Anaheim Gazette noted in 1890 that Conrad's beer ""appears to be fully equal if not superior to the celebrated Anheuser beer of St. Louis. Besides it is a strictly Orange County product and all who are in the habit of using beer should give it a trial if only to encourage home industries.""We think you should do the same.\t",5.5,35,45,1,10,1,11,5,8,0,7,19,1,13,3.25,3.75,4.0,3.5,3.5,Anaheim,CA,US,"Brewery, Bar, Beer-to-go"
California Common / Steam Beer,Linden Street Brewery,Linden Street Brewery Urban People's Common Lager,Notes:,5.5,35,45,9,14,1,16,11,10,1,10,33,3,12,3.833333,4.166667,4.166667,4.0,4.333333,Oakland,CA,US,"Brewery, Bar, Beer-to-go"
California Common / Steam Beer,Palmetto Brewing Company,Palmetto Brewing Company Palmetto Aftershock,Notes:A Steamed IPA. In memory of the Charleston earthquake of 1886.\t,6.4,35,45,1,9,3,11,6,8,0,5,11,2,11,3.666667,3.833333,3.666667,3.5,3.666667,Charleston,SC,US,"Brewery, Bar"
California Common / Steam Beer,Sun King Brewing Company,Sun King Brewing Company Westy,Notes:,6.7,35,45,7,2,2,11,5,5,0,6,12,1,8,3.75,4.0,4.125,4.125,4.0,Indianapolis,IN,US,"Brewery, Bar, Beer-to-go"
Cream Ale,Sun King Brewing Company,Sun King Brewing Company Sunlight Cream Ale,Notes:,5.3,10,22,18,48,6,22,31,17,0,16,35,2,69,3.372727,3.718182,3.763636,3.672727,3.809091,Indianapolis,IN,US,"Brewery, Bar, Beer-to-go"
Scottish Ale,Sun King Brewing Company,Sun King Brewing Company Wee Mac Brown,"Notes:Wee Mac Scottish-style Ale is an enticing and malty brown ale with caramel, cocoa, and hazelnut character balanced with toffee undertones.23 IBU\t",5.3,9,25,7,28,4,10,42,8,0,10,16,7,72,3.509259,3.666667,3.444444,3.574074,3.666667,Indianapolis,IN,US,"Brewery, Bar, Beer-to-go"
Scottish Ale,Sun King Brewing Company,Sun King Brewing Company Java Mac,Notes:Java Mac is the coffee infused version of our Wee Mac Scottish-Style Ale. Locally roasted coffee from Bee Roasters harmonizes with the base beer's hazelnut character and toffee undertones to create a vibrant symphony of rich coffee flavor.Java Mac was the winner of the Gold Medal in the Coffee Beer category at the 2011 Great American Beer Festival.\t,5.4,9,25,4,17,1,56,12,1,0,1,8,0,76,3.75,3.875,3.125,3.125,3.375,Indianapolis,IN,US,"Brewery, Bar, Beer-to-go"
Stout - Irish Dry,Sun King Brewing Company,Sun King Brewing Company Ring Of Dingle Irish Stout,"Notes:Named for a road in Ireland, Ring Of Dingle is dark in color, light of body, rich and roasty with a creamy head.34 IBU\t",4.8,30,40,17,51,1,35,31,6,0,6,14,14,76,3.75,4.25,4.5,4.25,4.5,Indianapolis,IN,US,"Brewery, Bar, Beer-to-go"
Chile Beer,Twisted Pine Brewing Company,Twisted Pine Brewing Company Ghost Face Killah,"Notes:Made with 6 chiles including Anaheim, Fresno, jalapeño, serrano, habenero, and ghost chile.\t",5.0,0,0,6,17,26,26,10,6,0,2,11,96,20,3.635135,3.216216,2.918919,3.297297,3.135135,Boulder,CO,US,"Brewery, Bar"
Chile Beer,Twisted Pine Brewing Company,Twisted Pine Brewing Company Billy's Chilies Beer (Timberline Series),"Notes:Our chili beer is made with five different kinds of fresh chili peppers. Rich pepper aroma greets you when the bottle is opened, followed by its satisfying beer taste and then subtle spiciness.\t",5.0,0,0,13,22,37,11,23,15,0,14,9,184,22,3.604651,3.325581,3.325581,3.383721,3.209302,Boulder,CO,US,"Brewery, Bar"
Chile Beer,5 Rabbit Cerveceria,5 Rabbit Cerveceria 5 Vulture,"Notes:5 Vulture is a deep ambered-colored ale with complex caramel aromas with toasted sugar notes and a long, elegant spicy finish. Roasted ancho chile is used to add depth and complexity, without adding heat or strong chile flavors.\t",6.4,0,0,5,44,24,26,66,8,2,15,13,87,74,3.818182,3.818182,3.727273,3.818182,3.727273,Bedford Park,IL,US,"Brewery, Bar, Beer-to-go"
Chile Beer,Upright Brewing Company,Upright Brewing Company Fatali Four,Notes:A blend of barrel aged Four that has fresh homegrown fatali chiles added for a couple months before bottling. It also incorporates light use of brettanomyces yeasts providing a contrasting earthy backdrop for the bright chile flavors. Cellar for up to three years.\t,4.5,0,0,36,33,43,12,44,140,1,83,31,105,30,3.875,3.65625,3.96875,4.1875,3.90625,Portland,OR,US,"Brewery, Bar, Beer-to-go"
Gruit / Ancient Herbed Ale,Upright Brewing Company,Upright Brewing Company Reggae Junkie,Notes:,5.2,0,0,6,8,1,1,4,15,0,5,8,4,3,4.333333,3.666667,4.0,4.0,4.166667,Portland,OR,US,"Brewery, Bar, Beer-to-go"
Old Ale,Upright Brewing Company,Upright Brewing Company Billy The Mountain,"Notes:Inspired by the great Prize Old Ale once brewed by Gales in England, this beer is deeply malty and full of ripe fruit, leather, wine and oak flavors. The Billy is partially barrel aged with brettanomyces yeast, lending a distinct twang and developing unique aromas over time. Bottled still and best served at about 55F to be finished at room temperature. Cellar for up to five years.""Billy the Mountain - A traditional English-style Old Ale, having undergone over five months of oak barrel aging and another several months in the bottle.""Malts: organic pale, ashburne mild, caramelUnmalted: black barleyAlso: molassesYeasts: London ESB and brettanomyces clausennii First Release - January 2010Second Release - January 2011Third Release - December 2011\t",9.1,30,65,38,58,19,26,85,105,0,71,17,9,85,3.722222,3.583333,3.444444,3.555556,3.472222,Portland,OR,US,"Brewery, Bar, Beer-to-go"
Rye Beer,Upright Brewing Company,Upright Brewing Company Six (#6),"Notes:""Six is a dark rye beer with layered flavors including chocolate, caramel, pepper, wood, cherry and tropical fruit. It starts semi-dry and smooth and finishes fully dry and tart with a small bite from the hops. The overall balance of the Six makes it easy to pair with richly prepared meats along with many harder cheeses.""Malts: organic pale, caramel, rye, blackUnmalted: rolled ryeHops: magnum, tettnanger\t",6.7,10,80,28,92,13,55,116,54,0,77,62,49,175,3.911765,4.009804,3.892157,4.029412,3.970588,Portland,OR,US,"Brewery, Bar, Beer-to-go"
Sour - Gose,Upright Brewing Company,Upright Brewing Company Gose,"Notes:Based on an obscure centuries old German style that incorporates salt and coriander into a distinctly tart wheat beer with a dry champagne like finish. 2010 World Beer Cup Bronze medal winner.Malts: pilsener, wheat, organic caramelHops: hallertauer mittelfrühAlso: coriander, saltYeast: French saison1st Release - January 20102nd Release - April 2011\t",5.2,10,15,44,39,10,10,31,100,48,57,45,21,65,3.947368,3.855263,4.092105,4.171053,4.210526,Portland,OR,US,"Brewery, Bar, Beer-to-go"
Chile Beer,Bent River Brewing Company,Bent River Brewing Company Jalapeño Pepper Ale,Notes:,4.81,0,0,4,11,24,9,7,4,0,3,11,90,24,3.214286,3.357143,3.142857,3.142857,2.642857,Moline,IL,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Wynkoop Brewing Company,Wynkoop Brewing Company Patty's Chile Beer,Notes:A light German-style beer made with Anaheim chiles and smoked Ancho peppers. A 2006 Great American Beer Festival Bronze Medal Winner in the Fruit and Vegetable Beer category anda Wynkoop specialty.\t,4.2,0,0,13,33,24,9,16,5,1,5,9,136,30,3.611111,3.555556,3.333333,3.472222,3.333333,Denver,CO,US,"Brewery, Bar, Eatery"
Chile Beer,Asheville Brewing Company,Asheville Brewing Company Fire Escape,Notes:,5.5,0,0,13,11,17,9,16,9,5,9,16,50,26,4.5,4.0,4.0,4.333333,4.333333,Asheville,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Twisted X Brewing Company,Twisted X Brewing Company Fuego,Notes:,6.5,0,0,12,16,15,18,16,10,0,4,17,46,15,3.5,4.0,3.75,3.75,3.5,Dripping Springs,TX,US,"Brewery, Bar"
Chile Beer,Throwback Brewery,Throwback Brewery Throwback Spicy Bohemian,"Notes:We took our pilsener and “dry-hopped” it with roasted jalapenos. The result is a well-balanced beer with a very intoxicating peppery-type aroma, great jalapeno flavor, and just a bit of lingering heat.40 IBU\t",4.8,0,0,14,10,10,7,6,3,1,0,6,52,17,4.0,4.0,4.0,4.0,4.0,North Hampton,NH,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - Smoked,Throwback Brewery,Throwback Brewery Throwback Campfire Smoked Porter,"Notes:Campfire is a full-bodied, robust smoked porter. We put a lot of love into this beer – hand-smoking the malt on local applewood, giving this beer a very appealing and balanced smoky flavor & aroma. The result? Jet-black roasty toasty goodness.Since we took care to craft this beer with just the right balance of smokiness, you can pair Campfire with a wide variety of foods – especially barbecue! Or, for dessert, you might want to simulate a beautiful night outdoors by pairing Campfire with S’mores!48 IBU\t",6.4,20,40,12,90,4,62,49,7,1,2,28,110,106,3.8,3.95,3.8,3.8,3.9,North Hampton,NH,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Six Rivers Brewery,Six Rivers Brewery Chili Pepper Ale,"Notes:""Chile Pepper Ale - Alcohol content 6.0%HOT! Spicy ale made with assorted chilies blended with our wheat ale.""\t",6.0,0,0,10,22,32,13,12,25,0,20,4,169,30,3.205882,3.529412,2.794118,2.882353,2.882353,McKinleyville,CA,US,"Brewery, Bar, Eatery"
Chile Beer,Weston Brewing Company & O'Malley's Pub,Weston Brewing Company & O'Malley's Pub Li'L Lucy's Hot Pepper Ale,Notes:,5.25,0,0,17,36,33,14,18,9,1,9,9,158,31,3.535714,3.142857,3.392857,3.678571,3.107143,Weston,MO,US,"Brewery, Eatery"
Wheat Beer - American Dark,Weston Brewing Company & O'Malley's Pub,Weston Brewing Company & O'Malley's Pub Ruddy Wheat,Notes:,0.0,10,35,7,6,3,3,10,4,1,3,7,1,18,2.875,3.0,3.25,2.75,3.125,Weston,MO,US,"Brewery, Eatery"
Chile Beer,Midtfyns Bryghus,Midtfyns Bryghus Midtfyns Chili Tripel,Notes:,9.2,0,0,8,35,33,7,57,28,0,34,12,87,41,3.571429,3.857143,3.714286,3.5,3.357143,Broby,,DK,Brewery
Chile Beer,Coopersmith's Pub & Brewing,Coopersmith's Pub & Brewing Sigda's Green Chili,Notes:,5.4,0,0,8,15,10,2,8,4,1,4,6,76,7,3.6,3.3,3.2,3.3,2.9,Fort Collins,CO,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Fitger's Brewhouse,Fitger's Brewhouse Wildfire Lager,Notes:,5.25,0,0,1,8,12,7,3,4,0,3,1,42,7,3.875,3.75,3.75,3.375,3.0,Duluth,MN,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - Wheatwine,Fitger's Brewhouse,Fitger's Brewhouse 1100 Wheat Wine,Notes:Aged in first use Woodford bourbon barrels for a year.\t,11.5,45,85,4,30,26,4,34,14,0,38,9,12,30,4.6,4.2,4.3,4.6,4.5,Duluth,MN,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Great Dane Pub & Brewing Company (Downtown),Great Dane Pub & Brewing Company (Downtown) Tri-Pepper Pilsener,Notes:,5.25,0,0,20,23,12,19,3,2,5,2,18,118,31,4.115385,4.076923,4.230769,4.153846,4.0,Madison,WI,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - Robust,Great Dane Pub & Brewing Company (Downtown),Great Dane Pub & Brewing Company (Downtown) Black Earth Porter,"Notes:Dark and full-bodied, this is our interpretation of the classic English Porter style. Made with nine varieties of malt and assertively hopped, our porter is packed with flavor. Strong coffee and chocolate tones create a special brew for those advancing on the path of fine beer appreciation.\t",7.5,25,40,13,156,11,69,72,14,0,6,33,27,146,4.121212,4.257576,4.045455,4.272727,4.272727,Madison,WI,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Microbrasserie du Lièvre,Microbrasserie du Lièvre El Lapino,Notes:,5.4,0,0,1,8,10,10,9,4,0,6,3,96,12,1.772727,1.636364,1.409091,1.318182,1.136364,Mont-Laurier,QC,CA,"Brewery, Bar"
Chile Beer,Dragonmead Microbrewery,Dragonmead Microbrewery Dragonmead Ring Of Fire,Notes:This fuller body American cream ale is brewed with an addition of hot peppers added to the boil as well as the conditioning tank. Silver medal winner in the 2012 World Beer Cup.\t,7.0,0,0,3,20,9,15,16,4,0,5,10,50,11,3.4375,3.5625,3.4375,3.75,3.0625,Warren,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Gruit / Ancient Herbed Ale,Dragonmead Microbrewery,Dragonmead Microbrewery Dragonmead Andromeda Ale,"Notes:Dragonmead uses heather tips imported from Scotland to create this unusual brew. Its malty sweet aroma does not disappoint. Chocolate Malt imparts a great deal of the flavor of this beer but does not over-power the finish, which is defined by the powdery dryness of the heather. All in all, a malty brew with a very clean finish.\t",4.6,0,0,9,9,2,3,15,4,0,7,8,2,21,3.25,3.583333,3.25,3.583333,3.583333,Warren,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Lager - Rauchbier,Dragonmead Microbrewery,Dragonmead Microbrewery Dragonmead Bishop Bob's Holy Smoke,Notes:This beer is a Bamberg-style Rauchbier. The town of Bamberg in Germany originated the style of smoked beers. These beers are made with a dose of smoked barley. Our recipe relies on a light bock recipe for its base and contains about 20% imported smoked barley. The noble German hops are used to balance the taste into a unique beer drinking experience.\t,5.6,20,30,3,15,1,5,19,4,2,5,6,37,30,3.25,3.9375,3.3125,3.5,3.5,Warren,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Red Ale - Irish,Dragonmead Microbrewery,Dragonmead Microbrewery Dragonmead Erik The Red,Notes:An Irish style red (amber) beer. Light in finish but bold in taste. Melanoidin malt is added for the red color and the spicy finish comes through from the Chinook hops.\t,5.0,20,30,12,30,11,43,73,42,0,44,68,13,70,3.25,3.725,3.45,3.55,3.55,Warren,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Tripel,Dragonmead Microbrewery,Dragonmead Microbrewery Dragonmead Final Absolution Trippel,Notes:Dragonmead's signature product! This is the ultimate Belgian style. The very high gravity of this beer is balanced by the smoothness of its finish. Banana and Clove aromas come from the Belgian yeast strain combining with the generous dose of Belgian Candi Sugar. The Saaz hops help to give this beer a balanced bitterness with no noticeable hop aroma.\t,10.0,20,40,7,32,16,23,71,35,0,51,26,24,33,3.921053,3.821637,3.918129,4.0,3.880117,Warren,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Flat Branch Pub & Brewery,Flat Branch Pub & Brewery Green Chili Beer,Notes:This is the chili-heads favorite brew. A mild base beer is spiced up with Anaheim and Serrano peppers. This beer has a wonderful green chili aroma and a touch of heat in the finish. Have it with tomato juice as a “liquid enchilada”.\t,5.25,0,0,8,16,10,4,4,4,0,3,3,63,7,3.166667,3.041667,3.083333,2.916667,2.75,Columbia,MO,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - American Dark,Flat Branch Pub & Brewery,Flat Branch Pub & Brewery Red Wheat,Notes:Our Red Wheat is a variation of our Honey Wheat. It is reddish copper in color due to a generous addition of colored malts that also contribute a slight caramel taste. Wheat malt is added to make up 50% of the total malt bill. Nicely balanced with a light addition of German Perle and Tettnang hops. A very easy to drink yet flavorful and light beer.16 IBU\t,5.2,10,35,1,4,0,4,4,0,0,0,5,0,24,3.166667,3.666667,3.5,3.166667,3.833333,Columbia,MO,US,"Brewery, Bar, Eatery, Beer-to-go"
Chile Beer,Calapooia Brewing Company,Calapooia Brewing Company Chili Beer,Notes:,4.8,0,0,2,9,12,5,0,1,1,1,5,27,8,4.166667,3.666667,4.0,4.333333,4.166667,Albany,OR,US,"Brewery, Eatery"
Cream Ale,Terrapin Beer Company,Terrapin Beer Company Terrapin Golden Ale,"Notes:Formerly Terrapin Cream Ale.Available in Georgia only!Terrapin Beer Company was started by two guys who love big, bold beers. We are known for using a ton of flavorful ingredients and for pushing the envelope with the brews we create.We have also been known to take pleasure in hiking, biking, kayaking, and just plain having fun in the great outdoors. When we get hot and sweaty even hopheads like us want nothing more than to enjoy a beer that is crisp and refreshing.Which is why we created the perfect session beer-the Terrapin Golden Ale.\t",5.0,10,22,32,48,7,35,39,33,11,30,51,0,64,3.183938,3.38342,3.489637,3.34456,3.707254,Athens,GA,US,"Brewery, Bar"
